,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
14655,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14656,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14657,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Caution (simple or conditional)
14658,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14659,Person search,2020-07,Colchester,White,White - Irish,Female,18-24,False,A no further action disposal
14660,Person search,2020-07,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
14661,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14662,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14663,Person and Vehicle search,2020-07,Colchester,White,White - Irish,Male,18-24,False,A no further action disposal
14664,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14665,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14666,Person search,2020-07,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
14667,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14668,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14669,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
14670,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
14671,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14672,Person search,2020-07,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,over 34,False,A no further action disposal
14673,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14674,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14675,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14676,Person search,2020-07,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,18-24,False,Khat or Cannabis warning
14677,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14678,Person search,2020-07,Colchester,Other,Other ethnic group - Any other ethnic group,Male,over 34,False,A no further action disposal
14679,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14680,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14681,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
14682,Person search,2020-07,Colchester,White,White - Irish,Male,25-34,False,A no further action disposal
14683,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14684,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Khat or Cannabis warning
14685,Person search,2020-07,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,10-17,False,Caution (simple or conditional)
14686,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14687,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14688,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14689,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Arrest
14690,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14691,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14692,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
14693,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14694,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14695,Person search,2020-07,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
14696,Person search,2020-07,Colchester,White,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
14697,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
14698,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,Khat or Cannabis warning
14699,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,Khat or Cannabis warning
14700,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14701,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14702,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,Khat or Cannabis warning
14703,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14704,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Caution (simple or conditional)
